Fecha,Confirmados,Activos,Recuperados,Fallecidos
04/09/2021,487898,49959,425668,12265
05/09/2021,488538,48260,427957,12315
06/09/2021,492570,47640,432535,12388
07/09/2021,497690,47663,437552,12468
08/09/2021,500840,46843,441446,12544
09/09/2021,505640,47093,445934,12606
10/09/2021,509654,46145,450837,12665
11/09/2021,510724,44607,453400,12710
12/09/2021,511457,42840,455856,12754
13/09/2021,515756,42676,460278,12795
14/09/2021,519986,42677,464443,12859
15/09/2021,521093,39963,468216,12907
16/09/2021,525161,40315,471892,12947
17/09/2021,528588,39881,475701,12999
18/09/2021,529422,37704,478671,13040
19/09/2021,530026,35893,481065,13061
20/09/2021,533744,34473,486149,13115
21/09/2021,537987,34473,490322,13185
22/09/2021,542024,34406,494370,13241
23/09/2021,545796,33904,498602,13283
24/09/2021,548604,32900,502366,13331
25/09/2021,549560,30965,505213,13375
26/09/2021,550333,29155,507777,13394
27/09/2021,553289,511678,511678,13453
28/09/2021,557244,28295,515417,13525
29/09/2021,560315,27731,519012,13564
30/09/2021,563257,27173,522451,13625
01/10/2021,565566,25981,525877,13700
02/10/2021,566250,24570,527942,13730
03/10/2021,566636,23444,529434,13750
04/10/2021,569440,22849,532789,13794
05/10/2021,572103,22287,535957,13851
06/10/2021,574713,22088,538715,13902
07/10/2021,576818,21025,541847,13938
08/10/2021,578809,19852,544963,13986
09/10/2021,579489,18668,546785,14027
10/10/2021,579774,17446,548253,14066
11/10/2021,581498,15940,551431,14118
12/10/2021,583201,15067,553948,14177
13/10/2021,584613,14407,555993,14204
14/10/2021,586318,14019,558054,14236
15/10/2021,587687,13260,560152,14266
16/10/2021,588069,12296,561434,14330
17/10/2021,588262,11575,562291,14387
18/10/2021,589986,11097,564444,14436
19/10/2021,591460,10675,566261,14515
20/10/2021,591767,9707,567485,14566
21/10/2021,593459,9408,569427,14615
22/10/2021,594665,8717,571284,14655
23/10/2021,595008,8096,572203,14700
24/10/2021,595067,7510,572800,14748
25/10/2021,596417,7045,574566,14797
26/10/2021,597768,6780,576117,14862
27/10/2021,599042,6579,577526,14928
28/10/2021,600419,6399,579018,14993
29/10/2021,601402,6136,580207,15050
30/10/2021,601572,5778,580691,15094
31/10/2021,601657,5384,581127,15137
01/11/2021,601793,4779,581826,15179
02/11/2021,602575,4430,582914,15222
03/11/2021,603641,4219,584132,15281
04/11/2021,604586,4045,585194,15338
05/11/2021,605415,3860,586157,15389
06/11/2021,605664,3613,586605,15437
07/11/2021,605749,3417,586849,15474
08/11/2021,606743,3174,588040,15520
09/11/2021,607497,3007,588903,15578
10/11/2021,608307,2978,589693,15627
12/11/2021,609729,2724,591298,15698
13/11/2021,610004,2561,591720,15714
14/11/2021,610034,2413,591882,15730
15/11/2021,610591,2243,592590,15749
16/11/2021,611374,2177,593412,15775
17/11/2021,612187,2100,594275,15802
18/11/2021,613014,2093,595089,15822
19/11/2021,613713,2073,595793,15837
20/11/2021,613892,1971,596071,15840
21/11/2021,613950,1901,596190,15849
22/11/2021,614910,2001,597044,15855
23/11/2021,615725,1955,597890,15870
24/11/2021,616554,1886,598773,15885
25/11/2021,617037,1810,599319,15898
26/11/2021,617495,1742,599826,15917
27/11/2021,617610,1638,600034,15928
28/11/2021,617621,1532,600146,15933
29/11/2021,617984,1410,600621,15943
30/11/2021,618436,1374,601096,15956
01/12/2021,618727,1279,601471,15967
02/12/2021,619040,1234,601824,15972
03/12/2021,619542,1209,602343,15980
04/12/2021,619852,1139,602717,15986
05/12/2021,619891,1069,602820,15992
06/12/2021,620435,1080,603346,15999
07/12/2021,620853,1079,603756,16008
08/12/2021,621328,1053,604245,16020
09/12/2021,621844,988,604817,16029
10/12/2021,622168,938,605184,16036
11/12/2021,622229,858,605317,16044
12/12/2021,622237,789,605390,16048
13/12/2021,622525,768,605696,16051
14/12/2021,622866,757,606052,16057
15/12/2021,623195,756,606378,16061
16/12/2021,623449,746,606638,16065
17/12/2021,623662,742,606853,16067
18/12/2021,623731,726,606933,16072
19/12/2021,623795,704,607014,16077
20/12/2021,624171,819,607271,16081
21/12/2021,624544,952,607507,16085
22/12/2021,624866,1104,607673,16089
23/12/2021,625029,1165,607769,16095
24/12/2021,625127,1190,607841,16096
25/12/2021,625166,1176,607893,16097
26/12/2021,625257,1208,607951,16098
27/12/2021,625854,1652,608103,16099
28/12/2021,626675,2336,608237,16102
29/12/2021,627562,3009,608447,16106
30/12/2021,628359,3690,608562,16107
31/12/2021,628589,3839,608642,16108
01/01/2022,628695,3893,608693,16109
02/01/2022,628804,3946,608748,16110
03/01/2022,629811,4778,608922,16111
04/01/2022,631730,6405,609211,16114
05/01/2022,633774,8156,609501,16117
06/01/2022,635613,9742,609753,16118
07/01/2022,637663,11573,609966,16124
08/01/2022,638705,12482,610098,16125
09/01/2022,639048,12687,610235,16126
10/01/2022,641164,14479,610558,16127
11/01/2022,643447,16315,611004,16128
12/01/2022,646319,18744,611430,16145
13/01/2022,648947,20849,611938,16160
14/01/2022,651774,23090,612509,16175
15/01/2022,653171,24081,612914,16176
16/01/2022,653555,23981,613395,16179
17/01/2022,656456,25886,614379,16191
18/01/2022,659655,28122,615330,16203
19/01/2022,662828,30329,616276,16223
20/01/2022,666017,32460,617312,16245
21/01/2022,669012,34251,618498,16263
22/01/2022,669830,33958,619604,16268
23/01/2022,670489,33359,620858,16272
24/01/2022,673559,34173,623101,16285
25/01/2022,677214,35773,625147,16294
26/01/2022,681308,37671,627320,16317
27/01/2022,685542,39507,629692,16343
28/01/2022,688326,39861,632092,16373
29/01/2022,689609,39414,633816,16379
30/01/2022,690290,38411,635494,16385
31/01/2022,694513,39567,638545,16401
01/02/2022,698385,40962,641002,16421
02/02/2022,702310,42489,643375,16446
03/02/2022,705614,43571,645574,16470
04/02/2022,709910,45366,648050,16495
05/02/2022,711076,44255,650321,16501
06/02/2022,712057,43299,652250,16509
07/02/2022,716082,44023,655533,16527
08/02/2022,720802,45895,658366,16542
09/02/2022,725701,48098,661027,16577
10/02/2022,729977,49255,664112,16611
11/02/2022,733960,50269,667065,16627
12/02/2022,735099,49100,669363,16637
13/02/2022,735957,47598,671717,16643
14/02/2022,740011,47393,675958,16661
15/02/2022,744754,48215,679861,16679
16/02/2022,749257,49578,682971,16709
17/02/2022,753281,50314,686224,16744
18/02/2022,756600,50094,689727,16780
19/02/2022,757588,48424,692378,16787
20/02/2022,758303,46709,694801,16794
21/02/2022,762096,46241,699023,16833
22/02/2022,766475,46419,703196,16861
23/02/2022,770135,46370,706860,16906
24/02/2022,773575,46145,710492,16939
25/02/2022,776262,45156,714146,16961
26/02/2022,776991,43121,716900,16971
27/02/2022,777670,41179,719515,16977
28/02/2022,780815,40124,723682,17010
01/03/2022,784024,39434,727573,17018
02/03/2022,786869,38934,730907,17029
03/03/2022,789354,38030,734280,17045
04/03/2022,791944,37787,737485,17073
05/03/2022,792503,35539,739888,17077
06/03/2022,792961,34104,741775,17083
07/03/2022,795808,32744,745959,17106
08/03/2022,798400,31455,749829,17116
09/03/2022,800403,29503,753773,17127
10/03/2022,802744,27996,757609,17139
11/03/2022,804709,26562,761003,17144
